,ARG,STDEV,MGEs,STDEV
Aa,0.120740424,0.01214597,0.053504519,0.004230281
Ab,0.179596454,0.021324579,0.056390632,0.004645052
Ac,0.281348549,0.021615759,0.157407484,0.012407356
Ad,0.19452585,0.01588182,0.090141859,0.004240474
Ba,0.019052773,0.00381896,0.013681556,0.004390248
Bb,0.0628031,0.017136069,0.015232053,0.004349687
Bc,0.060773175,0.00313242,0.010389964,0.001352222
Bd,0.066382153,0.014621301,0.015583086,0.002218899
Wa,0.030655676,0.0023732,0.014742748,0.001536723
Wb,0.104267665,0.009486544,0.022114787,0.003529533
Wc,0.088365275,0.0062795,0.016094234,0.000654095
Wd,0.067975674,0.013334556,0.010827831,0.001980476
